name,code,country,lat,lon,elev,style,rwdir,rwlen,rwwidth,freq,desc
"Pease","PEASE",US,4233.583N,07206.517W,1070ft,3,,1600ft,,,"Landable"
"Pease International","PSM",US,4304.667N,07049.383W,102ft,5,165,11321ft,150ft,122.95,"PSM, 16/34 113A, RW width: 150, ATIS: 132.05, Tower: 128.4, UNICOM: 122.95, Fuel: 100LL/J8"
"Pepperell","26MA",US,4241.720N,07133.040W,180ft,5,60,2820ft,25ft,123.05,"26MA, Private, RW width: 25, UNICOM: 123.05"
"Perras Field","VT44",US,4431.600N,07234.883W,820ft,2,160,2200ft,60ft,122.8,"VT44, Private, RW width: 60, UNICOM: 122.8"
"Perrotti Skyranch","09ME",US,4320.450N,07051.283W,260ft,2,40,2000ft,100ft,,"09ME, Private, RW width: 100"
"Pheasant Field","MA64",US,4204.517N,07048.917W,39ft,2,180,2000ft,150ft,,"MA64, Private, N/S 20T, RW width: 150"
"Pilgrim's Home","2NH5",US,4259.410N,07224.100W,620ft,3,170,800ft,40ft,,"2NH5, Landable, RW width: 40"
"Pines","NY64",US,4306.167N,07409.300W,850ft,2,120,2800ft,120ft,,"NY64, Private, RW width: 120"
"Piolis Brookside","6NY7",US,4151.917N,07419.983W,1060ft,2,140,2600ft,75ft,,"6NY7, Private, RW width: 75"
"Pittsfield","PSF",US,4225.640N,07317.540W,1190ft,5,79,5791ft,100ft,122.7,"PSF, 08/26 50A, RW width: 100, UNICOM: 122.7, Fuel: 100LL, Turn Point"
"Plateau Sky Ranch","1F2",US,4313.533N,07406.867W,1070ft,2,61,2400ft,100ft,122.8,"1F2, RW width: 100, UNICOM: 122.8"
"Plattsburgh","PBG",US,4439.050N,07328.083W,234ft,5,172,11759ft,200ft,122.7,"PBG, RW width: 200, UNICOM: 122.7, Fuel: 100LL"
"Plum Island","2B2",US,4247.750N,07050.467W,10ft,2,140,2300ft,100ft,123.3,"2B2, 10/28 25A, RW width: 100, UNICOM: 123.0, Fuel: 100LL, Turn Point"
"Plymouth MA","PYM",US,4154.583N,07043.717W,148ft,5,56,4350ft,75ft,123.3,"PYM, 06/24 35A, RW width: 75, UNICOM: 122.725, Fuel: 100LL, Turn Point"
"Plymouth NH","1P1PLYMOUTH MUNI",US,4346.690N,07145.200W,500ft,2,120,2347ft,90ft,122.8,"1P1, 12/30 24T, RW width: 90, AWOS: 122.8, Tower: 122.8, UNICOM: 122.8, Fuel: 000, Turn Point"
"Portland Jetport","PWM",US,4338.733N,07018.517W,76ft,5,110,7200ft,150ft,120.9,"PWM, RW width: 150, ATIS: 119.05, Tower: 120.9, 120.9, UNICOM: 122.95, CTAF: 120.9, Fuel: 100LL"
"Post Mills","2B9",US,4353.060N,07215.130W,700ft,2,40,2900ft,80ft,122.8,"2B9, 04/22 29T, RW width: 80, UNICOM: 122.8"
"Presby","25NH",US,4413.970N,07142.910W,1220ft,2,70,1800ft,60ft,,"25NH, Private, RW width: 60"
"Propwash","21NH",US,4255.017N,07056.117W,190ft,2,130,1450ft,80ft,,"21NH, Private, RW width: 80"
"Quabog","QUABOG",US,4212.470N,07204.630W,610ft,3,340,1800ft,200ft,,"Landable, RW width: 200"
"Quonset","OQU",US,4135.812N,07124.712W,19ft,5,160,7504ft,150ft,126.35,"OQU, 05/23 40A, RW width: 150, ATIS: 118.6, Tower: 126.35, UNICOM: 122.95, Fuel: 100LL"
"Ranch","3NY0",US,4249.633N,07424.233W,1110ft,2,80,2200ft,50ft,,"3NY0, Private, RW width: 50"
"Randall","06N",US,4125.917N,07423.500W,523ft,5,75,2810ft,60ft,122.8,"06N, RW width: 60, UNICOM: 122.8"
"Rankl Field","CT20",US,4136.000N,07225.967W,351ft,2,315,1600ft,200ft,,"CT20, Private, RW width: 200"
"Rensselaer County","5B7",US,4241.500N,07334.800W,440ft,5,175,2670ft,50ft,122.7,"5B7, RW width: 50, UNICOM: 122.7"
"Rentschler","RNTSCHLR",US,4145.060N,07237.460W,30ft,0,,,,,"EHT, 04/22 73A"
"Richmond","08R",US,4129.339N,07137.220W,130ft,5,110,2129ft,30ft,122.8,"RI04, 11/29 21A, RW width: 30, UNICOM: 122.8, Fuel: 100LL"
"Riconn","RI11",US,4141.806N,07147.021W,390ft,2,90,1600ft,100ft,,"RI11, Private, 09/27 16T, RW width: 100"
"Rindge","RINDGE",US,4245.483N,07201.167W,1340ft,3,,1000ft,,,"Landable"
"Ripley Field","RIPLEFLD",US,4147.133N,07318.517W,1329ft,0,,,,,"CT44, 17/35 20T"
"Roberts Farm","CT85",US,4153.400N,07236.890W,36ft,2,80,2000ft,50ft,,"CT85, Private, 08/26 20T, RW width: 50"
"Robertson","4B8",US,4141.417N,07251.883W,200ft,5,20,3665ft,75ft,122.8,"4B8, 02/20 36A, RW width: 75, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Rocky Ridge","ME39",US,4414.117N,07007.950W,480ft,2,20,1350ft,75ft,,"ME39, Private, RW width: 75"
"Root","ROOT",US,4229.800N,07203.833W,1150ft,3,,1800ft,,,"Landable"
"Round Lake","W57",US,4255.867N,07346.250W,178ft,2,143,1927ft,76ft,122.8,"W57, RW width: 76, UNICOM: 122.8"
"Roxbury Runway","1NK0",US,4217.833N,07432.900W,1600ft,2,30,1735ft,100ft,,"1NK0, Private, RW width: 100"
"Russell 1","NY51",US,4252.200N,07429.950W,700ft,2,120,1700ft,40ft,,"NY51, Private, RW width: 40"
"Russell 2","0NY1",US,4308.350N,07339.183W,260ft,2,30,1360ft,125ft,,"0NY1, Private, RW width: 125"
"Rutland","RUT",US,4331.780N,07256.980W,780ft,5,14,5003ft,100ft,122.8,"RUT, 01/19 50A, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"Salmon Falls","ME61",US,4317.672N,07053.970W,190ft,2,140,2000ft,200ft,,"ME61, Private, 14/32 20T, RW width: 200"
"Salmon River","9B8",US,4135.367N,07226.533W,541ft,2,170,2000ft,60ft,122.9,"9B8, 17/35 20T, RW width: 60, CTAF: 122.9"
"Sanford","SFM",US,4323.632N,07042.480W,244ft,5,75,6389ft,100ft,123.075,"SFM, 07/25 60A, RW width: 100, UNICOM: 123.075, Fuel: 100LL/MOGAS"
"Santa's","VT06",US,4300.200N,07228.580W,670ft,2,170,2500ft,50ft,,"VT06, Private, 17/35 20T, RW width: 50"
"Saratoga County","5B2",US,4303.050N,07351.700W,434ft,5,53,4699ft,100ft,123.075,"5B2, RW width: 100, UNICOM: 123.075, Fuel: 100LL"
"Savage Island","VT15",US,4442.233N,07314.750W,125ft,2,20,2500ft,90ft,,"VT15, Private, RW width: 90"
"Schenectady County","SCH",US,4251.150N,07355.733W,378ft,5,40,7001ft,150ft,121.3,"SCH, RW width: 150, Tower: 121.3, UNICOM: 122.95, Fuel: 100LL"
"Schroon Lake","4B7",US,4351.750N,07344.433W,834ft,5,160,3000ft,60ft,122.9,"4B7, RW width: 60, CTAF: 122.9"
"Scottow Bog Flightpark","ME66",US,4336.750N,07021.433W,30ft,3,90,900ft,300ft,,"ME66, Private, Ultralight Field, RW width: 300"
"Secret Spot","3NK5",US,4437.000N,07327.917W,155ft,2,90,1950ft,50ft,,"3NK5, Private, RW width: 50"
"Sharon","K31",US,4246.700N,07434.667W,1508ft,2,130,2570ft,120ft,122.8,"K31, RW width: 120, UNICOM: 122.8"
"Shaw Meadow","VT52",US,4438.600N,07311.250W,230ft,2,10,2150ft,150ft,,"VT52, Private, RW width: 150"
"Sheeley's Farm","NK08",US,4149.917N,07407.800W,260ft,2,130,2000ft,40ft,,"NK08, Private, RW width: 40"
"Shelburne","VT8",US,4421.600N,07313.580W,320ft,2,6,3100ft,60ft,122.8,"VT8, RW width: 60, UNICOM: 122.8, Fuel: MOGAS"
"Shelburne Farms","VT22",US,4424.083N,07316.017W,131ft,2,180,1900ft,80ft,,"VT22, Private, RW width: 80"
"Sherman","1NY5",US,4138.339N,07344.574W,625ft,2,180,1570ft,40ft,,"1NY5, Private, 18/36 16G, RW width: 40"
"Sherman-Pvt","MA63",US,4204.433N,07047.883W,33ft,2,180,1500ft,50ft,,"MA63, Private, N/S 15T, RW width: 50"
"Sherwood Farm","7NY6",US,4253.621N,07330.474W,530ft,2,70,2000ft,30ft,,"7NY6, Private, 07/25 20T, RW width: 30"
"Silvernails","82NY",US,4200.083N,07340.267W,571ft,2,20,1000ft,40ft,,"82NY, Private, RW width: 40"
"Simsbury","4B9",US,4154.940N,07246.630W,190ft,5,30,2205ft,50ft,122.7,"4B9, 03/21 22A, RW width: 50, UNICOM: 122.7, Fuel: 100LL"
"Six Ponds","3NY6",US,4250.467N,07410.717W,1125ft,2,110,3000ft,50ft,,"3NY6, Private, RW width: 50"
"Skis Landing","CT07",US,4134.417N,07218.183W,509ft,2,90,1500ft,75ft,,"CT07, Private, 09/27 15T, RW width: 75"
"Sky Acres NY","44N",US,4142.446N,07344.282W,700ft,5,167,3830ft,60ft,122.8,"44N, 17/35 38A, RW width: 60, UNICOM: 122.8, Fuel: 100LL"
"Sky Acres VT","VT25",US,4425.000N,07309.967W,330ft,2,180,1730ft,60ft,,"VT25, Private, RW width: 60"
"Sky Park","46N",US,4159.075N,07350.158W,323ft,5,13,2664ft,30ft,122.9,"46N, 01/19 27A, RW width: 30, CTAF: 122.9"
"Skydive Lebanon","ME64",US,4322.505N,07055.754W,365ft,5,170,4000ft,28ft,,"ME64, Private, 17/35 30A, RW width: 28"
"Skyhaven","DAW",US,4317.033N,07055.750W,322ft,5,147,4201ft,75ft,122.7,"6B1, 15/33 40A, RW width: 75, UNICOM: 122.7, Fuel: 100LL"
"Skylark Airport","7B6",US,4155.710N,07234.570W,120ft,5,100,3242ft,60ft,122.8,"7B6, 10/28 26A, RW width: 60, UNICOM: 122.8, Fuel: 100LL"
"Slip Knot Landing","24ME",US,4349.333N,07026.567W,310ft,2,20,1700ft,100ft,,"24ME, Private, RW width: 100"
